Chinese,Korean
"形 安好,平安",안녕하십니까
安寧 ,안녕하다
不安 ,불안하다
感叹词 是 ，是的,네
"代 我,  自己",저
名 名字，姓名,이름
"名 先生- 教师, 先生",선생님
名 氏 先生，女士,씨
名 姓 姓，姓氏,성
名 印度― 印度人,인도 사람
名 中國 ,중국
代 我的,제
"副 并且，还有, 然后，接着，又",그리고
名 親舊 朋友，好友，挚友,친구
"惯形词 哪个, 某个",어느
名 国家，国,나라
"名 人,人士",사람
名 美國 ,미국
感歎詞 不,아니요
感歎詞 是,네
名 日本 ,일본
形 是吗？,그렇습니까
 是那样 ，是那样的,그렇다
名 英國 ,영국
名 獨逸 德国,독일
名 Russia 俄罗斯,러시아
名 Mongolia 蒙古,몽골
名 泰國 ,태국
名 韓國 ,한국
名 濠洲 澳大利亚,호주
名 Canada 加拿大,캐나다
名 國籍 ,국적
助 ...中，从， 来自,에서
自动 来,왔습니다
自动 来,오다
名 會社員 公司职员，公司员工,회사원
"副 那么, 那样就 ",그럼
名 學生  学生,학생
名大學生 ,대학생
名 職業  职业,직업
名 警察 警察，公安,경찰
名 歌手 ,가수
名 醫師 大夫，医生,의사
名 看護師 护士,간호사
名 銀行員 银行职员,은행원
名 秘書 ,비서
名 記者 ,기자
名 辯護士 律师,변호사
形 不是，不，非,아니다
副 可是，不过，但是,그런데
代 什么 ，何,무엇
动 做吗？,하십니까
 做，干，进行，作出,하다
名 敎授 ,교수
助 宾格助词，表示行为作用的直接对象,을/를
"代 谁, 某人",누구
形  高兴，愉快,반갑다
 初次见面,처음 뵙겠습니다.
 第一次,처음
 见,뵙다
自动 去，前往,가다
自动 到，来,오다
他动 碰到，遇到,만나다
自动 睡，睡觉,자다
自动 人事- 问候，请安,인사하다
他动  吃,먹다
他动  穿,입다
他动  听，闻,듣다
他动 看，读,읽다
他动 写、用、撑,쓰다
名學校  学校,학교
助 (用于体词后)表示存在的处所,에
名 店員  店员,점원
代 这，这个,이것
名 敎科書 教科书,교과서
形  这样的,그렇다
代 那个(物品),저것
名 辭典/詞典 词典,사전
名 雜誌 杂志,잡지
名  读物,읽기책
名 冊床  书桌,책상
名 紙匣 钱包,지갑
名 鉛筆 铅笔,연필
名 尺子,자
"名 擦子, 橡皮 ",지우개
名 ball pen 圆珠笔,볼펜
名 钱,돈
"名 card 卡, 卡片",카드
名 旅券 护照,여권
名 身分證 身份证,신분증
"名 包, 背包",가방
名-手巾 手绢,손수건
名 帽子 帽子,모자
名 镜子,거울
"名 休紙 手纸, 废纸",휴지
"名 空冊 本子, 记事本",공책
名 钥匙,열쇠
"名 手帖 小笔记本, 手册",수첩
"名 菓子 点心, 饼干",과자
"名 纸, 纸张",종이
"名 筆筒 笔筒, 笔盒",필통
"形  有, 存在",있다
名 月历,달력
n. 月,달
n. 历,력
名 地圖 地图,지도
形 没有 ,없다
adj. 有,있다
名 教室,교실
名 窓門 窗户,창문
名 粉筆 粉笔,분필
名 漆板 黑板,칠판
名 画 ,그림
"名  衣架,衣挂 ",옷걸이
名 门  ,문
名 television ,텔레비전
n TV,티비
名 椅子 ,의자
"形 多, 大",많다
"形  少, 少量",적다
形 大，高，长，,크다
"形 小,细,矮,瘦",작다
名 天气 ,날씨
"形  好, 美, 良, 善",좋다
"形 坏, 差, 糟,不良, 不好",나쁘다
"名 juice  果汁, 液",주스
"助 也,也还 (表示包括,补充、添加)，用于同时举出两个以上的事物时",도
"名 物件 东西, 物, 物品",물건
n. 物价,물건값
助 “-에”的强调说法,에는
"口语体格助词 ，表示比较的对象,一起、共同",하고
"名 口袋, 衣袋, 袋子",주머니
名 銀行 银行,은행
"代 哪儿, 哪里 何处",어디
名 學生會館 ,학생회관
名 圖書館 ,도서관
"名 前面, 前方, 前边",앞
名 化粧室 洗手间,화장실
"名 食堂  食堂, 餐厅",식당
名 (構內食堂),구내식당
名 書店 书店,서점
名 郵遞局 邮局,우체국
"名 事務室 办公室, 业务室",사무실
名 后面,뒤
名 前,앞
名 旁边  ,옆
名 上面,위
名 底,밑
名 下面,아래
名 内,안
名 外,밖
名 computer 电脑,컴퓨터
名cup 杯子,컵
名 牛乳 牛奶,우유
名 新聞 报纸,신문
名 電話 电话 ,전화
名 衣服 ,옷
名 麥酒  啤酒,맥주
"名 寢臺 床, 铺",침대
"名 冷藏庫 冰箱, 冰柜",냉장고
名 一層 一楼,1층
名 地下 地下 ,지하
名 家 (n.家务),집
名 近處 附近,근처
名 百貨店  百货商店,백화점
名 地铁,지하철
"名 驛站 车站, 驿站  ",역
名  剧院 ，剧场,극장
名 病院 医院,병원
"名 藥局 药店, 药房",약국
"名 小店, 小铺,",가게
"名 會社 훼사 公司, 企业",회사
名 公園 公园,공원
名 市場 市场,시장
"代 我们, 咱们, 咱",우리
名 bus 公交车,버스
名 停留場  车站,정류장
名 coffee shop 咖啡店,커피숍
"助 和, 与, 跟",하고
"名 敎會 교훼 教会, 教堂",교회
"副 真, 实在, 相当",참
"他动 做, 干, 进行",하다
"名 家族 家庭, 家人",가족
名 寫眞 相片,사진
"他 看, 观, 视",보다
"副 常常, 频繁, 经常",자주
"副 偶尔, 有时",가끔
名 事,일
"自动 工作, 做事, 劳动",일하다
名 工夫 ,공부
"他 学, 学习, 攻读, 用功",공부하다
名 宿題 ,숙제
动 做作业,숙제하다
名 ,이야기
"动 说, 谈, 解释, 讲故事",이야기하다
名 ,노래
"动 唱歌, 演唱, 歌颂",노래하다
名 運動 ,운동
"动 运动, 锻炼, 健身, 活动",운동하다
名 散策 ,산책
动 散步,산책하다
"他 购买, 置办",사다
名 米饭,밥
"名 泡菜, 辛奇",김치
"名 映畵 电影, 影片",영화
名 音樂  音乐,음악
"副 每天, 天天",날마다
"他 呼唤, 叫唤, 喊, 唱",부르다
数  多少 ，几,몇
"名 名, 人, 个    ",명
"副 全部, 所有, 总共, 都",모두
名 父母님 父母,부모님
自动 (指长辈或上级)在，健在,계시다
"名 故鄕 故乡, 家乡",고향
名 兄弟 兄弟姐妹,형제
助 主格助词“가/이”的尊敬形式,께서
他动 睡觉,(敬语) 주무시다
他动  吃,잡수시다
他动 吃,드시다
动  [动] 说话，表达,말씀하시다
量 个，块，只，颗，张,개
量 卷 本，卷，册,권
他动 喜欢，喜爱，喜好,좋아하다
名 主婦 主妇,주부
"副 “아니”的略语,不,没有",안
名 高等學生  高中生,고등학생
"名 首都, 首尔",서울
副 很，极，非常,아주
形  有趣，有意思,재미있다
助  一起，一同,같이
自动 居住，生活，生存,살다
"助 ...中,在",에서
名  山 山,산
名 空氣 空气，大气,공기
"形 安静, 寂静",조용하다
形 喧哗，吵闹,시끄럽다
"形  干净,整洁",깨끗하다
形  宽，宽阔,넓다
"形  脏,变糟",더럽다
形  窄 ，狭窄,좁다
形  冷，寒冷,춥다
形  热，暑,덥다
"形 凉快, 爽口, 豁然",시원하다
"形  热乎，暖和, 温情",따뜻하다
"形 美丽，漂亮, 可爱",예쁘다
"形 複雜-  复杂, 纷杂",복잡하다
形 (簡單),간단하다
名 们，辈(表示复数）,들
名 海，海洋 해,바다
"副 所以,因此",그래서
名 生鮮 鱼，鲜鱼,생선
名 冬天,겨울
名 夏天,여름
名 春天,봄
名 秋天,가을
形 親切- 亲切，和蔼,친절하다
他动 爱 ，宠爱 ，疼爱,사랑하다
"名 大學校 大学, 高等学府",대학교
名 經濟學 ,경제학
"名 專攻 专业, 主修",전공
名 歷史學,역사학
名 computer工學 计算机工学,컴퓨터공학
名 政治學 ,정치학
名 法學 ,법학
名 經營學 ,경영학
名 醫學 ,의학
名 英文學 ,영문학
名 生物學 ,생물학
名 programmer 编导、程序员,프로그래머
"助 跟、和, 一起、",하고
副 名 单独 ，独自 ,혼자
副  一起 ，一同 ，共同,같이
動 那样做吧,그럽시다
"自動 出去, 向前 ",나가다
"自動  进来, 进，入  ",들어오다
"動 爬上, 进, 升    ",올라가다
自動 下 ，下来 ，回        ,내려오다
名 韓食-  韩食餐馆,한식집
名 中國-  中餐厅,중국집
名 日食-  日本料理店,일식집
名 洋食- 西餐厅,양식집
名  拌饭,비빔밥
名 烤牛肉,불고기
名 來日 明天，明日,내일
名 正门，大门 ,정문
形  近 ，亲密,가깝다
動 是吗？,그래요?
名 飮食 食物 ，饭菜，餐饮,음식
名 今天 ，今日,오늘
"名  价钱，价格, 价值",값
"形 便宜, 低廉 ",싸다
冠 什么,무슨
名  味道，滋味,맛
形  可口，好吃,맛있다
形  不好吃，无味,맛없다
名 外國人  ,외국인
"副 好，熟练,",잘
名 韓食 ,한식
名 中國飮食 ,중국 음식
